epoch,step,train_loss,val_loss
0,11,0.002010867465287447,
1,23,0.0013950307620689273,
2,35,0.0012095740530639887,
3,47,0.0012217627372592688,
4,59,0.0011523881694301963,
5,71,0.00126408610958606,
6,83,0.00114411860704422,
7,95,0.0012818695977330208,
8,107,0.0012483138125389814,
9,119,,0.0011892567854374647
9,119,0.0012130284449085593,
10,131,0.0011936923256143928,
11,143,0.0012570349499583244,
12,155,0.0015210385899990797,
13,167,0.0010301729198545218,
14,179,0.0010771258966997266,
15,191,0.0012195196468383074,
16,203,0.000860503176227212,
17,215,0.0007498533232137561,
18,227,0.0005813565803691745,
19,239,,0.00036694289883598685
19,239,0.00044595240615308285,
20,251,0.0004074939643032849,
21,263,0.00041359427268616855,
22,275,0.00025385848130099475,
23,287,0.0003060885064769536,
24,299,0.00031541421776637435,
25,311,0.00016716755635570735,
26,323,0.0002721028577070683,
27,335,0.0001277395203942433,
28,347,0.0003444082394707948,
29,359,,0.00010959565406665206
29,359,0.00012728964793495834,
30,371,0.00012372437049634755,
31,383,0.00021829073375556618,
32,395,0.00019569261348806322,
33,407,0.00013314673560671508,
34,419,0.0001561865210533142,
35,431,0.0002486746816430241,
36,443,0.00026532483752816916,
37,455,8.290132245747373e-05,
38,467,9.960459283320233e-05,
39,479,,0.00010216622467851266
39,479,0.00011217541032237932,
40,491,0.00010655267396941781,
41,503,9.346563456347212e-05,
42,515,0.00010487773397471756,
43,527,0.00027449108893051744,
44,539,0.00018679702770896256,
45,551,0.0002156981936423108,
46,563,9.645919635659084e-05,
47,575,8.540048293070868e-05,
48,587,0.00020346329256426543,
49,599,,9.303216211264953e-05
49,599,0.00012318501831032336,
50,611,0.0002258116437587887,
51,623,0.00014762120554223657,
52,635,0.00022802397143095732,
53,647,9.499998122919351e-05,
54,659,0.00021907735208515078,
55,671,8.66972332005389e-05,
56,683,0.00012848718324676156,
57,695,9.253498137695715e-05,
58,707,0.0001454625598853454,
59,719,,9.987079829443246e-05
59,719,8.666348730912432e-05,
60,731,0.0001759906008373946,
61,743,0.0002445413847453892,
62,755,9.582203347235918e-05,
63,767,0.0002301143977092579,
64,779,0.00023245172633323818,
65,791,9.574988507665694e-05,
66,803,7.710430509177968e-05,
67,815,7.347513019340113e-05,
68,827,0.00023213970416691154,
69,839,,9.21971004572697e-05
69,839,9.434081584913656e-05,
70,851,9.057235001819208e-05,
71,863,8.031520701479167e-05,
72,875,8.3158265624661e-05,
73,887,9.556006989441812e-05,
74,899,0.00021975641720928252,
75,911,0.00018276153423357755,
76,923,0.00027467968175187707,
77,935,8.293615974253044e-05,
78,947,7.617680239491165e-05,
79,959,,8.916801743907854e-05
79,959,7.2100869147107e-05,
80,971,8.911768236430362e-05,
81,983,0.000247718213358894,
82,995,0.00010450720583321527,
83,1007,0.00011698468733811751,
84,1019,7.887146784923971e-05,
85,1031,7.090072176652029e-05,
86,1043,0.00011526809976203367,
87,1055,7.25279314792715e-05,
88,1067,4.956799966748804e-05,
89,1079,,8.407616405747831e-05
89,1079,0.00031645246781408787,
90,1091,0.00021785647550132126,
91,1103,0.00011212686513317749,
92,1115,5.619195871986449e-05,
93,1127,0.0001391037949360907,
94,1139,0.00019891360716428608,
95,1151,0.000150393825606443,
96,1163,0.0003249292494729161,
97,1175,0.00012223815429024398,
98,1187,8.215640991693363e-05,
99,1199,,9.313868213212118e-05
99,1199,0.00012063774920534343,
100,1211,7.939754868857563e-05,
101,1223,0.00021031341748312116,
102,1235,6.11861323704943e-05,
103,1247,0.00016310624778270721,
104,1259,0.00011109645129181445,
105,1271,0.00013805998605675995,
106,1283,9.457216947339475e-05,
107,1295,9.376703383168206e-05,
108,1307,0.00029539375100284815,
109,1319,,8.379718929063529e-05
109,1319,0.00024438451509922743,
110,1331,0.00011068618186982349,
111,1343,0.0001552747271489352,
112,1355,9.757798397913575e-05,
113,1367,0.0001384858478559181,
114,1379,7.395519060082734e-05,
115,1391,6.855995889054611e-05,
116,1403,6.397886318154633e-05,
117,1415,0.00014267634833231568,
118,1427,0.0002043252025032416,
119,1439,,8.366510883206502e-05
119,1439,0.0002524648152757436,
120,1451,0.0002153952227672562,
121,1463,0.00012571740080602467,
122,1475,0.00021317695791367441,
123,1487,0.00019171246094629169,
124,1499,0.00019802013412117958,
125,1511,0.00013476527237799019,
126,1523,0.00015841009735595435,
127,1535,0.00010260738781653345,
128,1547,0.00021537709108088166,
129,1559,,8.41244836919941e-05
129,1559,0.00021638194448314607,
130,1571,7.52037885831669e-05,
131,1583,8.467770385323092e-05,
132,1595,0.00021788918820675462,
133,1607,0.00015107383660506457,
134,1619,0.00010210322216153145,
135,1631,6.479772127931938e-05,
136,1643,0.0001233676593983546,
137,1655,0.00015024564345367253,
138,1667,6.94548652973026e-05,
139,1679,,9.083230543183163e-05
139,1679,9.052863606484607e-05,
140,1691,6.428258348023519e-05,
141,1703,0.00010469642438692972,
142,1715,0.00011592388182180002,
143,1727,7.650404586456716e-05,
144,1739,6.045677582733333e-05,
145,1751,6.452365050790831e-05,
146,1763,5.9328594943508506e-05,
147,1775,9.506630158284679e-05,
148,1787,0.0001439176412532106,
149,1799,,7.264457235578448e-05
149,1799,0.00022831076057627797,
150,1811,7.9596575233154e-05,
151,1823,7.909572741482407e-05,
152,1835,8.519549010088667e-05,
153,1847,0.0002601208398118615,
154,1859,7.223511056508869e-05,
155,1871,0.0002843902911990881,
156,1883,5.4886935686226934e-05,
157,1895,6.56617630738765e-05,
158,1907,0.0002454269852023572,
159,1919,,7.675048982491717e-05
159,1919,0.00010401697363704443,
160,1931,7.615755021106452e-05,
161,1943,0.0002028684684773907,
162,1955,0.0002635764831211418,
163,1967,5.041386611992493e-05,
164,1979,8.760117634665221e-05,
165,1991,0.0001492391456849873,
166,2003,0.0002224162162747234,
167,2015,0.0002404546830803156,
168,2027,0.00013704037701245397,
169,2039,,0.00010341473534936085
169,2039,0.00012176751624792814,
170,2051,0.00018326802819501609,
171,2063,0.0001924816460814327,
172,2075,0.0002037189988186583,
173,2087,9.316627983935177e-05,
174,2099,6.553855928359553e-05,
175,2111,0.00022037945745978504,
176,2123,9.071423846762627e-05,
177,2135,0.0003166052920278162,
178,2147,0.00020464950648602098,
