epoch,step,train_loss,val_loss
0,11,0.0193314291536808,
1,23,0.006684939842671156,
2,35,0.0015657020267099142,
3,47,0.001360581023618579,
4,59,0.0012730187736451626,
5,71,0.0012577121378853917,
6,83,0.0011468145530670881,
7,95,0.001277918228879571,
8,107,0.0012386924354359508,
9,119,,0.0011830631410703063
9,119,0.001200433587655425,
10,131,0.0011960237752646208,
11,143,0.0012295653577893972,
12,155,0.001520874910056591,
13,167,0.0010536793852224946,
14,179,0.0011250777170062065,
15,191,0.0013520197244361043,
16,203,0.001094762934371829,
17,215,0.0010946212569251657,
18,227,0.0011332911672070622,
19,239,,0.0010980797233060002
19,239,0.001031726598739624,
20,251,0.0009977960726246238,
21,263,0.0012689926661550999,
22,275,0.001028538215905428,
23,287,0.0009473880636505783,
24,299,0.0010868721874430776,
25,311,0.0008022680995054543,
26,323,0.0007416032603941858,
27,335,0.00042555105756036937,
28,347,0.0006288336589932442,
29,359,,0.00026957038789987564
29,359,0.0003524826606735587,
30,371,0.00026375820743851364,
31,383,0.00031440184102393687,
32,395,0.0002606429625302553,
33,407,0.0001914133463287726,
34,419,0.00020356258028186858,
35,431,0.0002951961359940469,
36,443,0.0003256765194237232,
37,455,0.0001274007954634726,
38,467,0.00013486245006788522,
39,479,,0.0001249045308213681
39,479,0.00014439283404499292,
40,491,0.00013410231622401625,
41,503,0.00012263319513294846,
42,515,0.00013188507000450045,
43,527,0.00030387259903363883,
44,539,0.00021385551372077316,
45,551,0.0002421217504888773,
46,563,0.0001253544178325683,
47,575,0.00011303790961392224,
48,587,0.00021899373678024858,
49,599,,0.00010463387297932059
49,599,0.00015124033961910754,
50,611,0.0002507742610760033,
51,623,0.00016694932128302753,
52,635,0.0002549944329075515,
53,647,0.00012725419946946204,
54,659,0.0002362360683036968,
55,671,0.00010939306957880035,
56,683,0.00014677349827252328,
57,695,0.00012096227874280885,
58,707,0.00016346880875062197,
59,719,,9.986155055230483e-05
59,719,0.0001059946880559437,
60,731,0.00019966722175013274,
61,743,0.0002704851794987917,
62,755,0.00013589512673206627,
63,767,0.00026631998480297625,
64,779,0.00027408782625570893,
65,791,0.00012035493273288012,
66,803,9.903240425046533e-05,
67,815,9.933066758094355e-05,
68,827,0.00025504210498183966,
69,839,,9.886809857562184e-05
69,839,0.00012693967437371612,
70,851,0.00011880414967890829,
71,863,8.622665336588398e-05,
72,875,0.00010184407437918708,
73,887,0.00011376660404494032,
74,899,0.00024320361262653023,
75,911,0.00023213056556414813,
76,923,0.00030117869027890265,
77,935,0.00012084758054697886,
78,947,9.267673885915428e-05,
79,959,,9.814821532927454e-05
79,959,9.548710659146309e-05,
80,971,0.00011908644228242338,
81,983,0.00029550291947089136,
82,995,0.00013231248885858804,
83,1007,0.0001526849955553189,
84,1019,0.00010743227903731167,
85,1031,0.00011842991807498038,
86,1043,0.00012668232375290245,
87,1055,8.685847569722682e-05,
88,1067,7.494303281418979e-05,
89,1079,,9.71183180809021e-05
89,1079,0.0003572590940166265,
90,1091,0.00023643863096367568,
