epoch,step,train_loss,val_loss
0,11,0.003727485192939639,
1,23,0.001616703812032938,
2,35,0.0012691508745774627,
3,47,0.0012016469845548272,
4,59,0.0011280766921117902,
5,71,0.0012311955215409398,
6,83,0.0010941692162305117,
7,95,0.0012108769733458757,
8,107,0.0011396895861253142,
9,119,,0.0010216468945145607
9,119,0.0010737747652456164,
10,131,0.0009781966218724847,
11,143,0.0009309313609264791,
12,155,0.000991625478491187,
13,167,0.00046645657857879996,
14,179,0.00045426510041579604,
15,191,0.0005036575021222234,
16,203,0.00026861001970246434,
17,215,0.00023197790142148733,
18,227,0.0002106795582221821,
19,239,,0.00021898961858823895
19,239,0.0002168005012208596,
20,251,0.0002848664589691907,
21,263,0.00034990243148058653,
22,275,0.00023863630485720932,
23,287,0.0003063052427023649,
24,299,0.0003517564618960023,
25,311,0.00020762633357662708,
26,323,0.00033255285234190524,
27,335,0.0001766928908182308,
28,347,0.0004031193384435028,
29,359,,0.00016758940182626247
29,359,0.0001981874811463058,
30,371,0.00019183587573934346,
31,383,0.00028260445105843246,
32,395,0.00025862493203021586,
33,407,0.0002043841959675774,
34,419,0.00023175399110186845,
35,431,0.0003297141520306468,
36,443,0.00036330806324258447,
37,455,0.0001630137994652614,
38,467,0.0001790463284123689,
39,479,,0.00017045452841557562
39,479,0.00019737181719392538,
40,491,0.0001893842563731596,
41,503,0.00018677831394597888,
42,515,0.00020366105309221894,
43,527,0.0003666410921141505,
44,539,0.000276640203082934,
45,551,0.00030281508225016296,
46,563,0.00020828520064242184,
47,575,0.00016779596626292914,
48,587,0.00027776972274295986,
49,599,,0.00017591341747902334
49,599,0.00023383565712720156,
50,611,0.00030965940095484257,
51,623,0.00024006381863728166,
52,635,0.00034392205998301506,
53,647,0.00020339395268820226,
54,659,0.000323520100209862,
55,671,0.00018135686696041375,
56,683,0.00022474453726317734,
57,695,0.00020772636344190687,
58,707,0.00023659697035327554,
59,719,,0.00017053409828804433
59,719,0.00018917059060186148,
60,731,0.0002718541363719851,
61,743,0.0003491234383545816,
62,755,0.0002059724647551775,
63,767,0.00032944633858278394,
64,779,0.0003376429376658052,
65,791,0.00020706771465484053,
66,803,0.0001810874236980453,
67,815,0.00018068213830702007,
68,827,0.00033784593688324094,
69,839,,0.00016751243674661964
69,839,0.00021747844584751874,
70,851,0.00020696873252745718,
71,863,0.0001680974819464609,
72,875,0.00018901452131103724,
73,887,0.00018654247105587274,
74,899,0.00029489744338206947,
75,911,0.00030533591052517295,
76,923,0.0003716512874234468,
77,935,0.00019411549146752805,
78,947,0.0001764380285749212,
79,959,,0.00016474754374939948
79,959,0.00017015542834997177,
80,971,0.00020531982590910047,
81,983,0.00034216276253573596,
82,995,0.0002250214311061427,
83,1007,0.00022814930707681924,
84,1019,0.00020400850917212665,
85,1031,0.00018348434241488576,
86,1043,0.00019534520106390119,
87,1055,0.00016560472431592643,
88,1067,0.0001422312925569713,
89,1079,,0.00019117374904453754
89,1079,0.0004334266413934529,
90,1091,0.0003255931369494647,
91,1103,0.0002035717770922929,
92,1115,0.00014449421723838896,
93,1127,0.00024813268100842834,
94,1139,0.00031484500505030155,
95,1151,0.0002598836144898087,
96,1163,0.00042516778921708465,
97,1175,0.00019736128160730004,
98,1187,0.00018395732331555337,
99,1199,,0.00017052111797966063
99,1199,0.00022181747772265226,
100,1211,0.00018865564197767526,
101,1223,0.0003176772443111986,
102,1235,0.00014680909225717187,
103,1247,0.00026588994660414755,
104,1259,0.00018250651191920042,
105,1271,0.00024613412097096443,
106,1283,0.00019336771219968796,
107,1295,0.00020872241293545812,
108,1307,0.0004105662228539586,
109,1319,,0.00017240266606677324
109,1319,0.00035098183434456587,
110,1331,0.00021240342175588012,
111,1343,0.0002613502147141844,
112,1355,0.00021394724899437279,
113,1367,0.00024212953576352447,
114,1379,0.00018328883743379265,
115,1391,0.00016827296349219978,
116,1403,0.0001960974041139707,
117,1415,0.0002771335421130061,
118,1427,0.0003054789558518678,
119,1439,,0.00016884128854144365
119,1439,0.0003451516677159816,
120,1451,0.0003441258450038731,
121,1463,0.000229149722144939,
122,1475,0.00031801461591385305,
123,1487,0.00027877790853381157,
124,1499,0.0003116013831458986,
125,1511,0.00025092862779274583,
126,1523,0.00024991441750898957,
127,1535,0.0002124553720932454,
128,1547,0.00032909243600443006,
129,1559,,0.00016926095122471452
129,1559,0.0003453208482824266,
130,1571,0.00018625972734298557,
131,1583,0.00021950493101030588,
132,1595,0.0003344690485391766,
133,1607,0.0002641612372826785,
134,1619,0.00021898691193200648,
135,1631,0.00017110364569816738,
136,1643,0.00020179904822725803,
137,1655,0.00026175894890911877,
138,1667,0.00018377267406322062,
139,1679,,0.00016467252862639725
139,1679,0.00020902659161947668,
140,1691,0.00019107840489596128,
141,1703,0.0002182255411753431,
142,1715,0.00022774923127144575,
143,1727,0.0001880395138869062,
144,1739,0.00018005828314926475,
145,1751,0.00019140548829454929,
146,1763,0.00019316282123327255,
147,1775,0.00019000233442056924,
148,1787,0.00024263055820483714,
149,1799,,0.0001649654150241986
149,1799,0.00034278762177564204,
150,1811,0.00017431318701710552,
151,1823,0.00018821358389686793,
152,1835,0.00018793738854583353,
153,1847,0.0003678466018754989,
154,1859,0.00017902044055517763,
155,1871,0.0003857310221064836,
156,1883,0.0001681184658082202,
157,1895,0.00016780280566308647,
158,1907,0.00032809385447762907,
159,1919,,0.0001615725486772135
159,1919,0.00021685592946596444,
160,1931,0.00021220116468612105,
161,1943,0.00032242073211818933,
162,1955,0.00036869707400910556,
163,1967,0.00014740896585863084,
164,1979,0.00023321509070228785,
165,1991,0.0002803162205964327,
166,2003,0.0003421317378524691,
167,2015,0.00034197798231616616,
168,2027,0.0002536003303248435,
169,2039,,0.00017031443712767214
169,2039,0.00020744845096487552,
170,2051,0.0002558309934101999,
171,2063,0.0002787077974062413,
172,2075,0.0003330213949084282,
173,2087,0.00021106167696416378,
174,2099,0.00016360095469281077,
175,2111,0.00033038874971680343,
176,2123,0.0002124290622305125,
177,2135,0.0004304533067625016,
178,2147,0.00031647863215766847,
179,2159,,0.00019733003864530474
179,2159,0.00030374215566553175,
180,2171,0.00016577162023168057,
181,2183,0.00017764180665835738,
182,2195,0.00021133333211764693,
183,2207,0.00018985304632224143,
184,2219,0.00019401294412091374,
185,2231,0.00029196636751294136,
186,2243,0.0003291584725957364,
187,2255,0.00017308136739302427,
188,2267,0.00019748169870581478,
189,2279,,0.00015859374252613634
189,2279,0.00018685395480133593,
190,2291,0.00018941199232358485,
191,2303,0.00023148527543526143,
192,2315,0.0002520733396522701,
193,2327,0.000168129539815709,
194,2339,0.0002037891244981438,
195,2351,0.0001632437197258696,
196,2363,0.00033022972638718784,
197,2375,0.0003352445492055267,
198,2387,0.0002512710343580693,
199,2399,,0.00017237677820958197
199,2399,0.00030469908961094916,
