epoch,step,train_loss,val_loss
0,1,0.03840786591172218,
1,3,0.01243224274367094,
2,5,0.007285755593329668,
3,7,0.003478055354207754,
4,9,0.001420472632162273,
5,11,0.002517146524041891,
6,13,0.001953653758391738,
7,15,0.0016414111014455557,
8,17,0.0015434122178703547,
9,19,,0.002422176068648696
9,19,0.0013551044976338744,
10,21,0.001773623749613762,
11,23,0.0015540516469627619,
12,25,0.001169767347164452,
13,27,0.0016829275991767645,
14,29,0.001396623090840876,
15,31,0.0013916011666879058,
16,33,0.0013979716459289193,
17,35,0.0015383808640763164,
18,37,0.0013719180133193731,
19,39,,0.004236738663166761
19,39,0.0014286588411778212,
20,41,0.0015599594917148352,
21,43,0.0013659446267411113,
22,45,0.001321040908806026,
23,47,0.0014260531170293689,
24,49,0.001421297318302095,
25,51,0.001447995426133275,
26,53,0.0012857005931437016,
27,55,0.00151773018296808,
28,57,0.0013741162838414311,
29,59,,0.003406232688575983
29,59,0.0012881741859018803,
30,61,0.0015487810596823692,
31,63,0.001594871748238802,
32,65,0.0012540704337880015,
33,67,0.0016657888190820813,
34,69,0.0014157260302454233,
35,71,0.0013617618242278695,
36,73,0.0012720765080302954,
37,75,0.0013190649915486574,
38,77,0.0012880238937214017,
39,79,,0.0036952535156160593
39,79,0.0012088898802176118,
40,81,0.001337747205980122,
41,83,0.0012902704766020179,
42,85,0.0012911598896607757,
43,87,0.0013281607534736395,
44,89,0.0011937542585656047,
45,91,0.0012556095607578754,
46,93,0.0012218453921377659,
47,95,0.001411023666150868,
48,97,0.001068462268449366,
49,99,,0.0011447767028585076
49,99,0.000987474573776126,
50,101,0.0008573926752433181,
51,103,0.0009117971640080214,
52,105,0.0007566430140286684,
53,107,0.0009721857495605946,
54,109,0.0007962684612721205,
55,111,0.0008171675726771355,
56,113,0.0006585397641174495,
57,115,0.0006554544088430703,
58,117,0.0008386395638808608,
59,119,,0.0006318067316897213
59,119,0.0006390121416188776,
60,121,0.0007824401836842299,
61,123,0.0005585432518273592,
62,125,0.0007618078961968422,
63,127,0.0006257708300836384,
64,129,0.00077828235225752,
65,131,0.0006471070810221136,
66,133,0.0007445706287398934,
67,135,0.0007464009104296565,
68,137,0.0006632826407440007,
69,139,,0.0004953297902829945
69,139,0.0006312069017440081,
70,141,0.0006565871881321073,
71,143,0.0006377227837219834,
72,145,0.0006074403063394129,
73,147,0.0006146533414721489,
74,149,0.0005946099408902228,
75,151,0.0006416396354325116,
76,153,0.0006743959384039044,
77,155,0.0006800139090046287,
78,157,0.0005919394316151738,
79,159,,0.0003793670330196619
79,159,0.0005647431244142354,
80,161,0.0005429087905213237,
81,163,0.000647193577606231,
82,165,0.0006389783811755478,
83,167,0.0006209494895301759,
84,169,0.0004975810297764838,
85,171,0.0004546871641650796,
86,173,0.0006066022324375808,
87,175,0.0005900163669139147,
88,177,0.0006242755916900933,
89,179,,0.00040830991929396987
89,179,0.0006411820068024099,
90,181,0.00047385372454300523,
91,183,0.0004993819165974855,
92,185,0.0006247235578484833,
93,187,0.0005268324166536331,
94,189,0.000558250118046999,
95,191,0.0005845583509653807,
96,193,0.0005350520950742066,
97,195,0.0006119417957961559,
98,197,0.0005551701760850847,
99,199,,0.00043652160093188286
99,199,0.0005513466312550008,
100,201,0.0007675327942706645,
101,203,0.0005887990701012313,
102,205,0.0005214648554101586,
103,207,0.0004969732835888863,
104,209,0.0004003894573543221,
105,211,0.0004793043772224337,
