epoch,step,train_loss,val_loss
0,11,0.002527708886191249,
1,23,0.001381867565214634,
2,35,0.0012423128355294466,
3,47,0.0012196112656965852,
4,59,0.0011473697377368808,
5,71,0.0012588658137246966,
6,83,0.001129740965552628,
7,95,0.0012587641831487417,
8,107,0.0012022495502606034,
9,119,,0.0010678317630663514
9,119,0.001120558357797563,
10,131,0.0010655155638232827,
11,143,0.0010724525200203061,
12,155,0.0012338572414591908,
13,167,0.0006998188327997923,
14,179,0.0006802382995374501,
15,191,0.0007156198844313622,
16,203,0.00039738279883749783,
17,215,0.00030740475631318986,
18,227,0.00024015011149458587,
19,239,,0.00015759053349029273
19,239,0.000210003083338961,
20,251,0.0002491716295480728,
21,263,0.0003050333179999143,
22,275,0.00019189470913261175,
23,287,0.00025528459809720516,
24,299,0.00027288743876852095,
25,311,0.00013598636724054813,
26,323,0.0002506290329620242,
27,335,0.00011088701285189018,
28,347,0.0003336701192893088,
29,359,,9.910813241731375e-05
29,359,0.00013985477562528104,
30,371,0.00011186626215931028,
31,383,0.00020757963648065925,
32,395,0.00018501967133488506,
33,407,0.0001233617076650262,
34,419,0.00013682716235052794,
35,431,0.00023462646640837193,
36,443,0.0002605365007184446,
37,455,8.151843212544918e-05,
38,467,8.721593621885404e-05,
39,479,,9.017984848469496e-05
39,479,0.00011047561565646902,
40,491,0.00010259557893732563,
41,503,9.051519009517506e-05,
42,515,9.761837281985208e-05,
43,527,0.0002794095198623836,
44,539,0.00018889123748522252,
45,551,0.0002243715280201286,
46,563,0.0001061833681887947,
47,575,9.976584988180548e-05,
48,587,0.0002035387442447245,
49,599,,8.700556645635515e-05
49,599,0.00012799004616681486,
50,611,0.0002378661883994937,
51,623,0.0001492094888817519,
52,635,0.0002381340746069327,
53,647,0.00011183662718394771,
54,659,0.0002255659201182425,
55,671,9.62365375016816e-05,
56,683,0.00013589744048658758,
57,695,0.00010594965715426952,
58,707,0.00014673981058876961,
59,719,,8.5218642198015e-05
59,719,9.233650052919984e-05,
60,731,0.00019144888210576028,
61,743,0.00025450807879678905,
62,755,0.00012916489504277706,
63,767,0.00025330408243462443,
64,779,0.0002645614149514586,
65,791,0.00010374580597272143,
66,803,8.8251537817996e-05,
67,815,9.218573541147634e-05,
68,827,0.00024258166376966983,
69,839,,8.498108945786953e-05
69,839,0.00011760107008740306,
70,851,0.0001114907136070542,
71,863,7.515747711295262e-05,
72,875,9.596900781616569e-05,
73,887,0.00010612420010147616,
74,899,0.000234118546359241,
75,911,0.0002193226682720706,
76,923,0.0002871123142540455,
77,935,0.00010606426076265052,
78,947,8.384758257307112e-05,
79,959,,8.384361717617139e-05
79,959,8.891414472600445e-05,
80,971,0.0001078032873920165,
81,983,0.00028835225384682417,
82,995,0.00012064113980159163,
83,1007,0.00014236534480005503,
84,1019,9.107959340326488e-05,
85,1031,0.00011456296488177031,
86,1043,0.00011424523108871654,
87,1055,7.331117376452312e-05,
88,1067,7.25693316780962e-05,
89,1079,,8.253723353845999e-05
89,1079,0.0003490779490675777,
90,1091,0.0002275737642776221,
91,1103,0.0001311046798946336,
92,1115,6.789164763176814e-05,
93,1127,0.0001597855589352548,
94,1139,0.00021594423742499202,
95,1151,0.00017040374223142862,
96,1163,0.0003621404757723212,
97,1175,0.0001392919075442478,
98,1187,8.884947601472959e-05,
99,1199,,8.422276005148888e-05
99,1199,0.00012772815534844995,
100,1211,0.00011500179971335456,
101,1223,0.00024457802646793425,
102,1235,7.716373511357233e-05,
103,1247,0.00017097174713853747,
104,1259,0.0001159915846074,
105,1271,0.0001403319474775344,
106,1283,0.00011021918180631474,
107,1295,0.00011569888010853902,
108,1307,0.0003321229596622288,
109,1319,,7.928341801743954e-05
109,1319,0.0002807013806886971,
110,1331,0.00010750586807262152,
111,1343,0.000184085380169563,
112,1355,0.00011923584679607302,
113,1367,0.00016974534082692116,
114,1379,9.583726932760328e-05,
115,1391,8.22330912342295e-05,
116,1403,8.779340714681894e-05,
117,1415,0.00017278024461120367,
118,1427,0.00021742710669059306,
119,1439,,8.818185597192496e-05
119,1439,0.0002666935615707189,
120,1451,0.0002548217889852822,
121,1463,0.00013015753938816488,
122,1475,0.00023249557125382125,
123,1487,0.00018968377844430506,
124,1499,0.0002183882606914267,
125,1511,0.00016047238023020327,
126,1523,0.00015791176701895893,
127,1535,0.0001221214042743668,
128,1547,0.00023851955484133214,
129,1559,,8.107764006126672e-05
129,1559,0.00024460486019961536,
130,1571,9.467644849792123e-05,
131,1583,0.00011189640645170584,
132,1595,0.00024357292568311095,
133,1607,0.00017790307174436748,
134,1619,0.00011099364201072603,
135,1631,7.632091001141816e-05,
136,1643,0.00013525926624424756,
137,1655,0.00017235027917195112,
138,1667,9.670252620708197e-05,
139,1679,,8.094401709968224e-05
139,1679,0.00010128360008820891,
140,1691,9.367269376525655e-05,
141,1703,0.0001242982252733782,
142,1715,0.0001422292407369241,
143,1727,0.00010057970212073997,
144,1739,9.224582754541188e-05,
145,1751,8.721710764802992e-05,
146,1763,9.16651333682239e-05,
147,1775,0.00011521961278049275,
148,1787,0.00016978739586193115,
149,1799,,7.902276411186904e-05
149,1799,0.0002450660686008632,
150,1811,0.00010230713814962655,
151,1823,0.00011818730854429305,
152,1835,0.00011433631152613088,
153,1847,0.00027072185184806585,
154,1859,8.18950284156017e-05,
155,1871,0.00030698554473929107,
156,1883,9.390808554599062e-05,
157,1895,7.559085497632623e-05,
158,1907,0.0002527085889596492,
159,1919,,8.179095311788842e-05
159,1919,0.00011961820564465597,
160,1931,0.00010644314170349389,
161,1943,0.00022604415426030755,
162,1955,0.0002718662435654551,
163,1967,6.698955985484645e-05,
164,1979,0.00011787140101660043,
165,1991,0.00016091209545265883,
166,2003,0.00024077830312307924,
167,2015,0.0002535667736083269,
168,2027,0.0001635820372030139,
169,2039,,8.274260471807793e-05
169,2039,0.00012251372390892357,
170,2051,0.00018224335508421063,
171,2063,0.00020378537010401487,
172,2075,0.00023039107327349484,
173,2087,0.00011946733138756827,
174,2099,9.072542161447927e-05,
175,2111,0.0002371782757109031,
176,2123,0.0001086893753381446,
177,2135,0.0003435380640439689,
178,2147,0.00021855405066162348,
179,2159,,8.156168041750789e-05
179,2159,0.00019636587239801884,
180,2171,7.396355795208365e-05,
181,2183,9.482682798989117e-05,
182,2195,0.00011837417696369812,
183,2207,9.772649354999885e-05,
184,2219,8.42877198010683e-05,
185,2231,0.0002013616031035781,
186,2243,0.0002396201598457992,
187,2255,9.095552377402782e-05,
188,2267,0.00012808995961677283,
189,2279,,8.046180300880224e-05
189,2279,9.444173338124529e-05,
190,2291,8.659440936753526e-05,
191,2303,0.00014475158241111785,
192,2315,0.00016484851948916912,
193,2327,9.47708249441348e-05,
194,2339,9.382342977914959e-05,
195,2351,6.011372897773981e-05,
196,2363,0.0002355722535867244,
197,2375,0.000245075614657253,
198,2387,0.00014788034604862332,
199,2399,,8.354919555131346e-05
199,2399,0.00021337493672035635,
